Name,Description,TravelCost,TaskType,StardustReward
Milky Way,Home to Planet Earth - the best planet ever,0,riddle,6
Aether-1,Shimmering world of floating islands,3,math,5
Crimson Void,Dark universe filled with shifting fog,5,trivia,10
Lumina-9,Bright crystalline realm full of energy,7,pattern,12
Nebulon Gate,Portal-heavy realm with unstable space,10,riddle,15
Zero Point,Quiet universe hiding ancient secrets,6,math,8
Obsidian Core,Metallic lava world with hostile storms,8,logic,12
Echotrail,Universe where past choices echo into events,6,trivia,10
Starwell,Collapsed star remnant full of rare minerals,10,math,15
Verdant Spiral,Endless green spiral forests,8,puzzle,12
Frost Sentinel,Snow-covered universe guarded by AI constructs,10,riddle,15
